Zone,Zone Start E,Zone Start N,Zone Origin E,Zone Origin N,Projection SF,Height Bands
A1,148000,29000,138000,-171000,1.000354,1
A2,157000,29000,147000,-171000,1.0003,1
A3,166000,29000,156000,-171000,1.000249,1*2
A4,175000,39000,165000,-171000,1.000199,1
A5,184000,39000,174000,-171000,1.000149,1*2
A6,194000,39000,184000,-171000,1.000098,1*2
A7,204000,59000,194000,-171000,1.00005,1*2
A8,214000,39000,204000,-171000,1.000001,1*2
A9,225000,39000,215000,-171000,0.999952,1*2
A10,237000,39000,227000,-171000,0.999901,1*2
A11,251000,39000,241000,-171000,0.999847,1*2*3
A12,266000,39000,256000,-171000,0.999797,1*2*3
A13,282000,59000,272000,-171000,0.999749,1*2
A14,299000,79000,289000,-171000,0.9997,1*2
A15,322000,79000,312000,-171000,0.999647,1*2
A16,356000,79000,346000,-171000,0.999602,1*2
A17,434000,98000,424000,-171000,0.999633,1*2
A18,468000,98000,458000,-171000,0.999686,1*2
A19,498000,98000,488000,-171000,0.99974,1*2
A20,515000,98000,505000,-171000,0.999788,1*2
A21,532000,98000,522000,-171000,0.999843,1*2
A22,549000,98000,539000,-171000,0.999906,1*2
A23,566000,98000,556000,-171000,0.999958,1*2
A24,575000,98000,565000,-171000,1.000001,1*2
A25,586000,98000,576000,-171000,1.000049,1*2
A26,596000,98000,586000,-171000,1.000097,1*2
A27,606000,119000,596000,-171000,1.000147,1*2
A28,616000,119000,606000,-171000,1.000198,1*2
A29,625000,119000,615000,-171000,1.000248,1
A30,634000,119000,624000,-171000,1.0003,1
B15,322000,239000,312000,-211000,0.999647,1*2*3
B16,356000,239000,346000,-211000,0.999602,1*2*3*4
B17,434000,239000,424000,-211000,0.999633,1*2
B18,468000,239000,458000,-211000,0.999686,1*2
B19,498000,239000,488000,-211000,0.99974,1
B20,515000,239000,505000,-211000,0.999788,1
B21,532000,239000,522000,-211000,0.999843,1
B22,549000,239000,539000,-211000,0.999905,1
B23,566000,239000,556000,-211000,0.999958,1
B24,575000,239000,565000,-211000,1,1
B25,586000,239000,576000,-211000,1.000049,1
B26,596000,239000,586000,-211000,1.000097,1
B27,606000,239000,596000,-211000,1.000147,1
B28,616000,239000,606000,-211000,1.000198,1
B29,625000,239000,615000,-211000,1.000247,1
B30,634000,239000,624000,-211000,1.000299,1
B31,643000,278000,633000,-211000,1.000353,1
B32,652000,278000,642000,-211000,1.000408,1
C13,282000,498000,272000,-226000,0.999748,1
C14,299000,458000,289000,-226000,0.9997,1*2*3*4
C15,322000,449000,312000,-226000,0.999647,1*2*3*4*5
C16,356000,449000,346000,-226000,0.999602,1*2*3*4
C17,434000,449000,424000,-226000,0.999633,1*2
C18,468000,449000,458000,-226000,0.999686,1*2
C19,498000,449000,488000,-226000,0.99974,1*2
